FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
03147.*A,DAB,DAYTONA BEACH INTL,DAYTONA BEACH,FL,ASO,ORL,PU,29-10-47.7000N,081-03-29.0000W,PU,I C S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL,234,292097
03192.*A,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,FORT LAUDERDALE,FL,ASO,ORL,PU,26-04-18.0000N,080-08-58.9000W,PU,I D S 05/1973,Primary,Large,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,75,283595
03210.*A,GNV,GAINESVILLE RGNL,GAINESVILLE,FL,ASO,ORL,PU,29-41-24.2000N,082-16-18.4000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100  A,CARGO  INSTR  RNTL  SALES,139,50714
03250.1*A,JAX,JACKSONVILLE INTL,JACKSONVILLE,FL,ASO,ORL,PU,30-29-38.6000N,081-41-16.2000W,PU,I D S 05/1973,Primary,Medium,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,35,92096
03263.*A,EYW,KEY WEST INTL,KEY WEST,FL,ASO,ORL,PU,24-33-22.0000N,081-45-34.4000W,PU,I B S 12/1978,Primary,Small,Y,100  A,AMB  CHTR  INSTR  RNTL  SALES,50,53478
03283.*A,LAL,LAKELAND LINDER RGNL,LAKELAND,FL,ASO,ORL,PU,27-59-20.1000N,082-01-06.8000W,PU,I B S 12/1977,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,225,117669
03321.*A,MLB,MELBOURNE INTL,MELBOURNE,FL,ASO,ORL,PU,28-06-09.9000N,080-38-42.9000W,PU,I C S 05/1973,Primary,Non-Hub,Y,100LLA,AMB  AVNCS  CARGO  CHTR  INSTR  RNTL,224,91416
03333.*A,MIA,MIAMI INTL,MIAMI,FL,ASO,ORL,PU,25-47-43.3000N,080-17-24.4000W,PU,I E S 05/1973,Primary,Large,Y,100  A,AFRT  AGRI  CARGO  CHTR,28,410658
03379.*A,APF,NAPLES MUNI,NAPLES,FL,ASO,ORL,PU,26-09-08.7895N,081-46-32.2996W,PU,I A S 01/1983,General Aviation,,Y,100LLA    A+,AGRI  AMB  CHTR  RNTL  SALES,348,99569
03468.*A,SGJ,NORTHEAST FLORIDA RGNL,ST AUGUSTINE,FL,ASO,ORL,PU,29-57-33.3000N,081-20-23.0000W,PU,I A S 09/1986,Primary,Non-Hub,Y,100LLA,AMB  AVNCS  CHTR  INSTR  RNTL  SALES,190,130989
03430.3*A,ECP,NORTHWEST FLORIDA BEACHES INTL,PANAMA CITY,FL,ASO,ORL,PU,30-21-29.7000N,085-47-44.2000W,PU,I B S 05/2010,Primary,Small,Y,100LLA,INSTR  RNTL,110,66357
03394.*A,OCF,OCALA INTL-JIM TAYLOR FIELD,OCALA,FL,ASO,ORL,PU,29-10-18.7564N,082-13-26.8127W,PU,IV A U 11/1984,General Aviation,,Y,100LLA1+,AVNCS  CHTR  INSTR  RNTL  SALES,96,41966
03407.*A,MCO,ORLANDO INTL,ORLANDO,FL,ASO,ORL,PU,28-25-45.8000N,081-18-32.4000W,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  CARGO,37,319298
03407.1*A,SFB,ORLANDO SANFORD INTL,ORLANDO,FL,ASO,ORL,PU,28-46-37.1000N,081-14-05.7000W,PU,I D S 02/1989,Primary,Small,Y,100LLA,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,329,293329
03555.*A,PBI,PALM BEACH INTL,WEST PALM BEACH,FL,ASO,ORL,PU,26-40-59.4000N,080-05-44.1000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,154,145445
03435.*A,PNS,PENSACOLA INTL,PENSACOLA,FL,ASO,ORL,PU,30-28-24.3320N,087-11-11.8040W,PU,I C S 04/2005,Primary,Small,Y,100  100LLA,AMB  CHTR  INSTR  RNTL  SALES,102,100245
03455.*A,PGD,PUNTA GORDA,PUNTA GORDA,FL,ASO,ORL,PU,26-55-08.1756N,081-59-27.3329W,PU,I C S 08/1975,Primary,Non-Hub,Y,100LLA    A+,CHTR  INSTR  RNTL,330,79772
03484.*A,SRQ,SARASOTA/BRADENTON INTL,SARASOTA/BRADENTON,FL,ASO,ORL,PU,27-23-43.6000N,082-33-15.8000W,PU,I C S 05/1973,Primary,Small,Y,100LLA    A+,AVNCS  CHTR  INSTR  RNTL  SALES,240,105356
03198.2*A,RSW,SOUTHWEST FLORIDA INTL,FORT MYERS,FL,ASO,ORL,PU,26-32-10.2000N,081-45-18.6000W,PU,I D S 05/1983,Primary,Medium,Y,100LLA    A+,CARGO,4,80304
03532.*A,TIX,SPACE COAST RGNL,TITUSVILLE,FL,ASO,ORL,PU,28-30-53.3000N,080-47-57.2000W,PU,IV A U 10/1985,General Aviation,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,79,110427
03475.*A,PIE,ST PETE-CLEARWATER INTL,ST PETERSBURG-CLEARWATER,FL,ASO,ORL,PU,27-54-31.2767N,082-41-11.3757W,PU,I C S 11/1974,Primary,Small,Y,100  A    A1+,AFRT  AMB  CHTR  INSTR  RNTL,184,105273
03509.1*A,TLH,TALLAHASSEE INTL,TALLAHASSEE,FL,ASO,ORL,PU,30-23-48.3000N,084-21-03.1000W,PU,I C S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,94,58565
03513.*A,TPA,TAMPA INTL,TAMPA,FL,ASO,ORL,PU,27-58-31.7000N,082-31-59.7000W,PU,I D S 05/1973,Primary,Large,Y,100LLA,AVNCS,55,205773
03314.*A,MTH,THE FLORIDA KEYS MARATHON INTL,MARATHON,FL,ASO,ORL,PU,24-43-34.3000N,081-03-04.9000W,PU,I A U 12/1974,General Aviation,,N,100LLA1+,AGRI  INSTR  RNTL  SALES,71,69834
03540.*A,VRB,VERO BEACH MUNI,VERO BEACH,FL,ASO,ORL,PU,27-39-20.0000N,080-25-04.6000W,PU,I A S 11/1974,General Aviation,,Y,100  A,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES,231,251189
